Time(s),Node 1,Node 2,Node 3,Node 49,Node 50 (Center),Node 51,Node 98 (Third Last),Node 99 (Second Last),Node 100 (Last)
50.0,858.54,997.68,999.98,1000.0,1000.0,1000.0,999.98,998.03,866.07
100.0,830.01,993.71,999.86,1000.0,1000.0,1000.0,999.88,994.31,843.12
150.0,802.82,989.25,999.64,1000.0,1000.0,1000.0,999.68,990.22,821.07
200.0,776.9,984.3,999.3,1000.0,1000.0,1000.0,999.37,985.79,799.86
250.0,752.21,978.83,998.84,1000.0,1000.0,1000.0,998.96,981.01,779.48
300.0,708.53,972.68,998.26,1000.0,1000.0,1000.0,998.43,975.87,759.9
350.0,629.65,964.78,997.51,1000.0,1000.0,1000.0,997.79,970.39,738.9
400.0,553.25,954.52,996.56,1000.0,1000.0,1000.0,997.03,964.12,694.22
450.0,487.46,942.29,995.37,1000.0,1000.0,1000.0,996.12,956.32,628.18
500.0,430.79,928.48,993.88,1000.0,1000.0,1000.0,995.03,946.79,569.36
550.0,386.16,913.56,992.1,1000.0,1000.0,1000.0,993.72,935.83,517.73
600.0,351.21,898.0,990.01,1000.0,1000.0,1000.0,992.18,923.73,472.19
650.0,323.89,882.15,987.61,1000.0,1000.0,1000.0,990.38,910.73,433.15
700.0,302.45,868.09,984.93,1000.0,1000.0,1000.0,988.32,897.15,401.14
750.0,286.11,865.11,982.19,1000.0,1000.0,1000.0,986.01,883.24,374.91
800.0,273.93,862.05,979.51,1000.0,1000.0,1000.0,983.46,869.22,353.36
850.0,264.83,858.94,976.88,1000.0,1000.0,1000.0,980.8,865.91,335.95
900.0,257.99,855.79,974.29,1000.0,1000.0,1000.0,978.21,863.19,322.26
950.0,252.8,852.62,971.75,1000.0,1000.0,1000.0,975.67,860.4,311.51
1000.0,248.81,849.45,969.25,1000.0,1000.0,1000.0,973.18,857.56,303.05
1050.0,245.69,846.27,966.78,1000.0,1000.0,1000.0,970.74,854.69,296.35
1100.0,243.19,843.11,964.35,1000.0,1000.0,1000.0,968.33,851.8,291.02
1150.0,241.16,839.95,961.94,1000.0,1000.0,1000.0,965.97,848.9,286.73
1200.0,239.45,836.81,959.57,1000.0,1000.0,1000.0,963.63,845.99,283.24
1250.0,237.97,833.68,957.22,1000.0,1000.0,1000.0,961.33,843.08,280.37
