Time(s),Node 1,Node 2,Node 3,Node 49,Node 50 (Center),Node 51,Node 98 (Third Last),Node 99 (Second Last),Node 100 (Last)
50,858.54,997.68,999.98,1000,1000,1000,999.98,997.68,858.54
100,830.01,993.71,999.86,1000,1000,1000,999.86,993.71,830.01
150,802.82,989.25,999.64,1000,1000,1000,999.64,989.25,802.82
200,776.9,984.3,999.3,1000,1000,1000,999.3,984.3,776.9
250,752.21,978.83,998.84,1000,1000,1000,998.84,978.83,752.21
300,708.53,972.68,998.26,1000,1000,1000,998.26,972.68,708.53
350,629.65,964.78,997.51,1000,1000,1000,997.51,964.78,629.65
400,553.25,954.52,996.56,1000,1000,1000,996.56,954.52,553.25
450,487.46,942.29,995.37,1000,1000,1000,995.37,942.29,487.46
500,430.79,928.48,993.88,1000,1000,1000,993.88,928.48,430.79
550,386.16,913.56,992.1,1000,1000,1000,992.1,913.56,386.16
600,351.21,898,990.01,1000,1000,1000,990.01,898,351.21
650,323.89,882.15,987.61,1000,1000,1000,987.61,882.15,323.89
700,302.45,868.09,984.93,1000,1000,1000,984.93,868.09,302.45
750,286.11,865.11,982.19,1000,1000,1000,982.19,865.11,286.11
800,273.93,862.05,979.51,1000,1000,1000,979.51,862.05,273.93
850,264.83,858.94,976.88,1000,1000,1000,976.88,858.94,264.83
900,257.99,855.79,974.29,1000,1000,1000,974.29,855.79,257.99
950,252.8,852.62,971.75,1000,1000,1000,971.75,852.62,252.8
1000,248.81,849.45,969.25,1000,1000,1000,969.25,849.45,248.81
1050,245.69,846.27,966.78,1000,1000,1000,966.78,846.27,245.69
1100,243.19,843.11,964.35,1000,1000,1000,964.35,843.11,243.19
1150,241.16,839.95,961.94,1000,1000,1000,961.94,839.95,241.16
1200,239.45,836.81,959.57,1000,1000,1000,959.57,836.81,239.45
1250,237.97,833.68,957.22,1000,1000,1000,957.22,833.68,237.97
1300,236.67,830.56,954.89,1000,1000,1000,954.89,830.56,236.67
1350,235.5,827.47,952.59,1000,1000,1000,952.59,827.47,235.5
