Time(s),Node 1,Node 2,Node 3,Node 49,Node 50 (Center),Node 51,Node 98 (Third Last),Node 99 (Second Last),Node 100 (Last)
50.0,841.3,992.05,999.76,1000.0,1000.0,1000.0,999.76,992.05,841.3
100.0,797.49,980.6,998.81,1000.0,1000.0,1000.0,998.81,980.6,797.49
150.0,757.32,967.57,997.13,1000.0,1000.0,1000.0,997.13,967.57,757.32
200.0,685.78,952.26,994.68,1000.0,1000.0,1000.0,994.68,952.26,685.78
250.0,566.8,929.72,991.25,1000.0,1000.0,1000.0,991.25,929.72,566.8
300.0,478.78,900.89,986.45,1000.0,1000.0,1000.0,986.45,900.89,478.78
350.0,416.19,869.02,980.16,1000.0,1000.0,1000.0,980.16,869.02,416.19
400.0,376.88,862.18,973.38,1000.0,1000.0,1000.0,973.38,862.18,376.88
450.0,353.58,855.38,967.0,1000.0,1000.0,1000.0,967.0,855.38,353.58
500.0,339.48,848.37,960.93,1000.0,1000.0,1000.0,960.93,848.37,339.48
550.0,330.55,841.28,955.09,1000.0,1000.0,1000.0,955.09,841.28,330.55
600.0,324.47,834.21,949.45,1000.0,1000.0,1000.0,949.45,834.21,324.47
650.0,319.95,827.18,943.96,1000.0,1000.0,1000.0,943.96,827.18,319.95
700.0,316.3,820.23,938.61,1000.0,1000.0,1000.0,938.61,820.23,316.3
750.0,313.13,813.37,933.36,1000.0,1000.0,1000.0,933.36,813.37,313.13
800.0,310.25,806.6,928.22,1000.0,1000.0,1000.0,928.22,806.6,310.25
850.0,307.53,799.92,923.15,1000.0,1000.0,1000.0,923.15,799.92,307.53
900.0,305.34,793.31,918.13,1000.0,1000.0,1000.0,918.13,793.31,305.34
950.0,303.65,786.74,913.12,1000.0,1000.0,1000.0,913.12,786.74,303.65
1000.0,302.21,780.24,908.13,1000.0,1000.0,1000.0,908.13,780.24,302.21
1050.0,300.9,773.8,903.14,1000.0,1000.0,1000.0,903.14,773.8,300.9
1100.0,299.65,767.43,898.17,1000.0,1000.0,1000.0,898.17,767.43,299.65
1150.0,298.42,761.12,893.2,1000.0,1000.0,1000.0,893.2,761.12,298.42
1200.0,297.21,754.87,888.25,1000.0,1000.0,1000.0,888.25,754.87,297.21
1250.0,295.98,748.7,883.31,1000.0,1000.0,1000.0,883.31,748.7,295.98
1300.0,294.75,742.22,878.38,1000.0,1000.0,1000.0,878.38,742.22,294.75
1350.0,292.97,727.43,873.08,1000.0,1000.0,1000.0,873.08,727.43,292.97
1400.0,290.56,713.29,868.28,1000.0,1000.0,1000.0,868.28,713.29,290.56
1450.0,287.81,699.84,867.01,1000.0,1000.0,1000.0,867.01,699.84,287.81
1500.0,284.56,680.55,865.49,1000.0,1000.0,1000.0,865.49,680.55,284.56
1550.0,280.48,660.92,863.65,1000.0,1000.0,1000.0,863.65,660.92,280.48
1600.0,276.03,642.83,861.52,1000.0,1000.0,1000.0,861.52,642.83,276.03
1650.0,271.49,626.16,859.14,1000.0,1000.0,1000.0,859.14,626.16,271.49
1700.0,267.02,610.85,856.52,1000.0,1000.0,1000.0,856.52,610.85,267.02
1750.0,262.7,596.8,853.71,1000.0,1000.0,1000.0,853.71,596.8,262.7
1800.0,258.58,583.93,850.71,1000.0,1000.0,1000.0,850.71,583.93,258.58
1850.0,254.69,572.14,847.57,1000.0,1000.0,1000.0,847.57,572.14,254.69
1900.0,251.04,561.34,844.29,1000.0,1000.0,1000.0,844.29,561.34,251.04
1950.0,247.63,551.46,840.9,1000.0,1000.0,1000.0,840.9,551.46,247.63
2000.0,244.46,542.41,837.41,1000.0,1000.0,1000.0,837.41,542.41,244.46
2050.0,241.5,534.12,833.84,1000.0,1000.0,1000.0,833.84,534.12,241.5
2100.0,238.76,526.5,830.21,1000.0,1000.0,1000.0,830.21,526.5,238.76
2150.0,236.21,519.49,826.53,1000.0,1000.0,1000.0,826.53,519.49,236.21
2200.0,233.84,513.02,822.8,1000.0,1000.0,1000.0,822.8,513.02,233.84
2250.0,231.64,507.05,819.05,1000.0,1000.0,1000.0,819.05,507.05,231.64
2300.0,229.59,501.51,815.27,1000.0,1000.0,1000.0,815.27,501.51,229.59
2350.0,227.68,496.35,811.48,1000.0,1000.0,1000.0,811.48,496.35,227.68
2400.0,225.9,491.54,807.68,1000.0,1000.0,1000.0,807.68,491.54,225.9
2450.0,224.2,486.82,803.87,1000.0,1000.0,1000.0,803.87,486.82,224.2
2500.0,222.58,482.41,800.06,1000.0,1000.0,1000.0,800.06,482.41,222.58
2550.0,221.05,478.37,796.25,1000.0,1000.0,1000.0,796.25,478.37,221.05
2600.0,219.63,474.68,792.43,1000.0,1000.0,1000.0,792.43,474.68,219.63
2650.0,218.32,471.29,788.6,1000.0,1000.0,1000.0,788.6,471.29,218.32
2700.0,217.1,468.16,784.78,1000.0,1000.0,1000.0,784.78,468.16,217.1
2750.0,215.97,465.25,780.97,1000.0,1000.0,1000.0,780.97,465.25,215.97
2800.0,214.92,462.54,777.17,1000.0,1000.0,1000.0,777.17,462.54,214.92
2850.0,213.94,459.99,773.38,1000.0,1000.0,1000.0,773.38,459.99,213.94
2900.0,213.02,457.59,769.61,1000.0,1000.0,1000.0,769.61,457.59,213.02
2950.0,212.15,455.31,765.87,1000.0,1000.0,1000.0,765.87,455.31,212.15
3000.0,211.33,453.14,762.18,1000.0,1000.0,1000.0,762.18,453.14,211.33
3050.0,210.54,451.07,758.54,1000.0,1000.0,1000.0,758.54,451.07,210.54
3100.0,209.79,449.08,754.96,1000.0,1000.0,1000.0,754.96,449.08,209.79
3150.0,209.08,447.17,751.42,1000.0,1000.0,1000.0,751.42,447.17,209.08
3200.0,208.38,445.32,747.93,1000.0,1000.0,1000.0,747.93,445.32,208.38
3250.0,207.71,443.53,744.49,1000.0,1000.0,1000.0,744.49,443.53,207.71
3300.0,207.06,441.75,738.52,1000.0,1000.0,1000.0,738.52,441.75,207.06
3350.0,206.4,439.73,730.52,1000.0,1000.0,1000.0,730.52,439.73,206.4
3400.0,205.68,437.52,722.91,1000.0,1000.0,1000.0,722.91,437.52,205.68
3450.0,204.9,435.16,715.68,1000.0,1000.0,1000.0,715.68,435.16,204.9
3500.0,204.08,432.68,708.79,1000.0,1000.0,1000.0,708.79,432.68,204.08
3550.0,203.2,430.14,702.21,1000.0,1000.0,1000.0,702.21,430.14,203.2
3600.0,202.3,427.53,695.17,1000.0,1000.0,1000.0,695.17,427.53,202.3
3650.0,201.35,424.7,685.31,1000.0,1000.0,1000.0,685.31,424.7,201.35
3700.0,200.33,421.63,676.21,1000.0,1000.0,1000.0,676.21,421.63,200.33
3750.0,199.24,418.4,667.78,1000.0,1000.0,1000.0,667.78,418.4,199.24
3800.0,198.08,415.09,659.96,1000.0,1000.0,1000.0,659.96,415.09,198.08
3850.0,196.89,411.73,652.68,1000.0,1000.0,1000.0,652.68,411.73,196.89
3900.0,195.67,408.37,645.87,1000.0,1000.0,1000.0,645.87,408.37,195.67
3950.0,194.44,405.04,639.49,1000.0,1000.0,1000.0,639.49,405.04,194.44
4000.0,193.2,401.75,633.49,1000.0,1000.0,1000.0,633.49,401.75,193.2
4050.0,191.98,398.54,627.84,1000.0,1000.0,1000.0,627.84,398.54,191.98
4100.0,190.78,395.4,622.5,1000.0,1000.0,1000.0,622.5,395.4,190.78
