Time(s),Node 1,Node 2,Node 3,Node 49,Node 50 (Center),Node 51,Node 98 (Third Last),Node 99 (Second Last),Node 100 (Last)
50.0,858.54,997.68,999.98,1000.0,1000.0,1000.0,999.98,997.68,858.54
100.0,830.01,993.71,999.86,1000.0,1000.0,1000.0,999.86,993.71,830.01
150.0,802.82,989.25,999.64,1000.0,1000.0,1000.0,999.64,989.25,802.82
200.0,776.9,984.3,999.3,1000.0,1000.0,1000.0,999.3,984.3,776.9
250.0,752.21,978.83,998.84,1000.0,1000.0,1000.0,998.84,978.83,752.21
300.0,708.53,972.68,998.26,1000.0,1000.0,1000.0,998.26,972.68,708.53
350.0,629.65,964.78,997.51,1000.0,1000.0,1000.0,997.51,964.78,629.65
400.0,553.25,954.52,996.56,1000.0,1000.0,1000.0,996.56,954.52,553.25
450.0,487.46,942.29,995.37,1000.0,1000.0,1000.0,995.37,942.29,487.46
500.0,430.79,928.48,993.88,1000.0,1000.0,1000.0,993.88,928.48,430.79
550.0,386.16,913.56,992.1,1000.0,1000.0,1000.0,992.1,913.56,386.16
600.0,351.21,898.0,990.01,1000.0,1000.0,1000.0,990.01,898.0,351.21
650.0,323.89,882.15,987.61,1000.0,1000.0,1000.0,987.61,882.15,323.89
700.0,302.45,868.09,984.93,1000.0,1000.0,1000.0,984.93,868.09,302.45
750.0,286.11,865.11,982.19,1000.0,1000.0,1000.0,982.19,865.11,286.11
800.0,273.93,862.05,979.51,1000.0,1000.0,1000.0,979.51,862.05,273.93
850.0,264.83,858.94,976.88,1000.0,1000.0,1000.0,976.88,858.94,264.83
900.0,257.99,855.79,974.29,1000.0,1000.0,1000.0,974.29,855.79,257.99
950.0,252.8,852.62,971.75,1000.0,1000.0,1000.0,971.75,852.62,252.8
1000.0,248.81,849.45,969.25,1000.0,1000.0,1000.0,969.25,849.45,248.81
1050.0,245.69,846.27,966.78,1000.0,1000.0,1000.0,966.78,846.27,245.69
1100.0,243.19,843.11,964.35,1000.0,1000.0,1000.0,964.35,843.11,243.19
1150.0,241.16,839.95,961.94,1000.0,1000.0,1000.0,961.94,839.95,241.16
1200.0,239.45,836.81,959.57,1000.0,1000.0,1000.0,959.57,836.81,239.45
1250.0,237.97,833.68,957.22,1000.0,1000.0,1000.0,957.22,833.68,237.97
1300.0,236.67,830.56,954.89,1000.0,1000.0,1000.0,954.89,830.56,236.67
1350.0,235.5,827.47,952.59,1000.0,1000.0,1000.0,952.59,827.47,235.5
1400.0,234.41,824.39,950.31,1000.0,1000.0,1000.0,950.31,824.39,234.41
1450.0,233.39,821.33,948.05,1000.0,1000.0,1000.0,948.05,821.33,233.39
1500.0,232.42,818.29,945.81,1000.0,1000.0,1000.0,945.81,818.29,232.42
1550.0,231.49,815.27,943.59,1000.0,1000.0,1000.0,943.59,815.27,231.49
1600.0,230.58,812.27,941.39,1000.0,1000.0,1000.0,941.39,812.27,230.58
1650.0,229.7,809.29,939.2,1000.0,1000.0,1000.0,939.2,809.29,229.7
1700.0,228.84,806.32,937.03,1000.0,1000.0,1000.0,937.03,806.32,228.84
1750.0,227.98,803.38,934.87,1000.0,1000.0,1000.0,934.87,803.38,227.98
1800.0,227.15,800.45,932.72,1000.0,1000.0,1000.0,932.72,800.45,227.15
1850.0,226.41,797.53,930.59,1000.0,1000.0,1000.0,930.59,797.53,226.41
1900.0,225.8,794.63,928.45,1000.0,1000.0,1000.0,928.45,794.63,225.8
1950.0,225.29,791.73,926.32,1000.0,1000.0,1000.0,926.32,791.73,225.29
2000.0,224.83,788.84,924.2,1000.0,1000.0,1000.0,924.2,788.84,224.83
2050.0,224.43,785.96,922.07,1000.0,1000.0,1000.0,922.07,785.96,224.43
2100.0,224.05,783.1,919.95,1000.0,1000.0,1000.0,919.95,783.1,224.05
2150.0,223.7,780.24,917.82,1000.0,1000.0,1000.0,917.82,780.24,223.7
2200.0,223.36,777.4,915.7,1000.0,1000.0,1000.0,915.7,777.4,223.36
2250.0,223.02,774.56,913.59,1000.0,1000.0,1000.0,913.59,774.56,223.02
2300.0,222.7,771.74,911.47,1000.0,1000.0,1000.0,911.47,771.74,222.7
2350.0,222.38,768.93,909.35,1000.0,1000.0,1000.0,909.35,768.93,222.38
2400.0,222.05,766.13,907.24,1000.0,1000.0,1000.0,907.24,766.13,222.05
2450.0,221.73,763.34,905.13,1000.0,1000.0,1000.0,905.13,763.34,221.73
2500.0,221.41,760.56,903.02,1000.0,1000.0,1000.0,903.02,760.56,221.41
2550.0,221.08,757.79,900.91,1000.0,1000.0,1000.0,900.91,757.79,221.08
2600.0,220.76,755.04,898.8,1000.0,1000.0,1000.0,898.8,755.04,220.76
2650.0,220.43,752.29,896.69,1000.0,1000.0,1000.0,896.69,752.29,220.43
2700.0,220.1,749.56,894.59,1000.0,1000.0,1000.0,894.59,749.56,220.1
2750.0,219.76,746.84,892.49,1000.0,1000.0,1000.0,892.49,746.84,219.76
2800.0,219.42,744.13,890.39,1000.0,1000.0,1000.0,890.39,744.13,219.42
2850.0,219.06,739.27,888.27,1000.0,1000.0,1000.0,888.27,739.27,219.06
2900.0,218.56,732.65,886.05,1000.0,1000.0,1000.0,886.05,732.65,218.56
2950.0,217.95,726.14,883.72,1000.0,1000.0,1000.0,883.72,726.14,217.95
3000.0,217.26,719.74,881.29,1000.0,1000.0,1000.0,881.29,719.74,217.26
3050.0,216.51,713.44,878.77,1000.0,1000.0,1000.0,878.77,713.44,216.51
3100.0,215.71,707.23,876.17,1000.0,1000.0,1000.0,876.17,707.23,215.71
3150.0,214.88,701.12,873.48,1000.0,1000.0,1000.0,873.48,701.12,214.88
3200.0,214.02,693.81,870.72,1000.0,1000.0,1000.0,870.72,693.81,214.02
3250.0,212.99,683.9,868.43,1000.0,1000.0,1000.0,868.43,683.9,212.99
3300.0,211.8,674.24,867.84,1000.0,1000.0,1000.0,867.84,674.24,211.8
3350.0,210.5,664.85,867.19,1000.0,1000.0,1000.0,867.19,664.85,210.5
3400.0,209.13,655.72,866.49,1000.0,1000.0,1000.0,866.49,655.72,209.13
3450.0,207.7,646.85,865.74,1000.0,1000.0,1000.0,865.74,646.85,207.7
3500.0,206.24,638.24,864.94,1000.0,1000.0,1000.0,864.94,638.24,206.24
3550.0,204.75,629.89,864.09,1000.0,1000.0,1000.0,864.09,629.89,204.75
3600.0,203.26,621.79,863.19,1000.0,1000.0,1000.0,863.19,621.79,203.26
3650.0,201.76,613.94,862.25,1000.0,1000.0,1000.0,862.25,613.94,201.76
3700.0,200.27,606.34,861.26,1000.0,1000.0,1000.0,861.26,606.34,200.27
3750.0,198.79,598.99,860.24,1000.0,1000.0,1000.0,860.24,598.99,198.79
3800.0,197.32,591.87,859.18,1000.0,1000.0,1000.0,859.18,591.87,197.32
3850.0,195.87,585.0,858.07,1000.0,1000.0,1000.0,858.07,585.0,195.87
3900.0,194.45,578.35,856.94,1000.0,1000.0,1000.0,856.94,578.35,194.45
3950.0,193.05,571.94,855.77,1000.0,1000.0,1000.0,855.77,571.94,193.05
4000.0,191.67,565.75,854.56,1000.0,1000.0,1000.0,854.56,565.75,191.67
4050.0,190.32,559.77,853.33,1000.0,1000.0,1000.0,853.33,559.77,190.32
4100.0,189.0,554.01,852.07,1000.0,1000.0,1000.0,852.07,554.01,189.0
4150.0,187.71,548.45,850.78,1000.0,1000.0,1000.0,850.78,548.45,187.71
4200.0,186.46,543.09,849.47,1000.0,1000.0,1000.0,849.47,543.09,186.46
4250.0,185.23,537.93,848.13,1000.0,1000.0,1000.0,848.13,537.93,185.23
4300.0,184.03,532.96,846.77,1000.0,1000.0,1000.0,846.77,532.96,184.03
4350.0,182.87,528.16,845.38,1000.0,1000.0,1000.0,845.38,528.16,182.87
4400.0,181.74,523.55,843.98,1000.0,1000.0,1000.0,843.98,523.55,181.74
4450.0,180.64,519.11,842.56,1000.0,1000.0,1000.0,842.56,519.11,180.64
4500.0,179.57,514.83,841.12,1000.0,1000.0,1000.0,841.12,514.83,179.57
4550.0,178.54,510.71,839.66,1000.0,1000.0,1000.0,839.66,510.71,178.54
4600.0,177.53,506.74,838.19,1000.0,1000.0,1000.0,838.19,506.74,177.53
4650.0,176.56,502.92,836.71,1000.0,1000.0,1000.0,836.71,502.92,176.56
4700.0,175.61,499.24,835.21,1000.0,1000.0,1000.0,835.21,499.24,175.61
4750.0,174.7,495.69,833.7,1000.0,1000.0,1000.0,833.7,495.69,174.7
4800.0,173.81,492.28,832.18,1000.0,1000.0,1000.0,832.18,492.28,173.81
4850.0,172.94,488.86,830.65,1000.0,1000.0,1000.0,830.65,488.86,172.94
4900.0,172.1,485.53,829.11,1000.0,1000.0,1000.0,829.11,485.53,172.1
4950.0,171.27,482.33,827.56,1000.0,1000.0,1000.0,827.56,482.33,171.27
5000.0,170.46,479.27,826.0,1000.0,1000.0,1000.0,826.0,479.27,170.46
5050.0,169.68,476.32,824.43,1000.0,1000.0,1000.0,824.43,476.32,169.68
5100.0,168.93,473.49,822.86,1000.0,1000.0,1000.0,822.86,473.49,168.93
5150.0,168.2,470.77,821.28,1000.0,1000.0,1000.0,821.28,470.77,168.2
5200.0,167.49,468.16,819.7,1000.0,1000.0,1000.0,819.7,468.16,167.49
5250.0,166.8,465.64,818.11,1000.0,1000.0,1000.0,818.11,465.64,166.8
5300.0,166.14,463.21,816.52,1000.0,1000.0,1000.0,816.52,463.21,166.14
5350.0,165.5,460.87,814.92,1000.0,1000.0,1000.0,814.92,460.87,165.5
5400.0,164.89,458.61,813.32,1000.0,1000.0,1000.0,813.32,458.61,164.89
5450.0,164.29,456.43,811.72,1000.0,1000.0,1000.0,811.72,456.43,164.29
5500.0,163.71,454.33,810.12,1000.0,1000.0,1000.0,810.12,454.33,163.71
5550.0,163.15,452.29,808.52,1000.0,1000.0,1000.0,808.52,452.29,163.15
5600.0,162.61,450.32,806.92,1000.0,1000.0,1000.0,806.92,450.32,162.61
5650.0,162.08,448.41,805.32,1000.0,1000.0,1000.0,805.32,448.41,162.08
5700.0,161.57,446.56,803.71,1000.0,1000.0,1000.0,803.71,446.56,161.57
5750.0,161.08,444.77,802.11,1000.0,1000.0,1000.0,802.11,444.77,161.08
5800.0,160.6,443.03,800.51,1000.0,1000.0,1000.0,800.51,443.03,160.6
5850.0,160.13,441.35,798.91,1000.0,1000.0,1000.0,798.91,441.35,160.13
5900.0,159.68,439.74,797.31,1000.0,1000.0,1000.0,797.31,439.74,159.68
5950.0,159.25,438.19,795.7,1000.0,1000.0,1000.0,795.7,438.19,159.25
6000.0,158.83,436.7,794.1,1000.0,1000.0,1000.0,794.1,436.7,158.83
6050.0,158.42,435.27,792.49,1000.0,1000.0,1000.0,792.49,435.27,158.42
6100.0,158.03,433.9,790.88,1000.0,1000.0,1000.0,790.88,433.9,158.03
6150.0,157.65,432.57,789.28,1000.0,1000.0,1000.0,789.28,432.57,157.65
6200.0,157.29,431.29,787.67,1000.0,1000.0,1000.0,787.67,431.29,157.29
6250.0,156.94,430.05,786.07,1000.0,1000.0,1000.0,786.07,430.05,156.94
6300.0,156.6,428.86,784.47,1000.0,1000.0,1000.0,784.47,428.86,156.6
6350.0,156.27,427.7,782.87,1000.0,1000.0,1000.0,782.87,427.7,156.27
6400.0,155.95,426.58,781.27,1000.0,1000.0,1000.0,781.27,426.58,155.95
6450.0,155.64,425.5,779.67,1000.0,1000.0,1000.0,779.67,425.5,155.64
6500.0,155.34,424.45,778.07,1000.0,1000.0,1000.0,778.07,424.45,155.34
6550.0,155.05,423.43,776.48,1000.0,1000.0,1000.0,776.48,423.43,155.05
6600.0,154.77,422.44,774.89,1000.0,1000.0,1000.0,774.89,422.44,154.77
6650.0,154.5,421.47,773.3,1000.0,1000.0,1000.0,773.3,421.47,154.5
6700.0,154.24,420.53,771.71,1000.0,1000.0,1000.0,771.71,420.53,154.24
6750.0,153.98,419.62,770.13,1000.0,1000.0,1000.0,770.13,419.62,153.98
6800.0,153.73,418.72,768.55,1000.0,1000.0,1000.0,768.55,418.72,153.73
6850.0,153.48,417.85,766.97,1000.0,1000.0,1000.0,766.97,417.85,153.48
6900.0,153.24,417.0,765.4,1000.0,1000.0,1000.0,765.4,417.0,153.24
6950.0,153.01,416.16,763.83,1000.0,1000.0,1000.0,763.83,416.16,153.01
7000.0,152.78,415.35,762.26,1000.0,1000.0,1000.0,762.26,415.35,152.78
7050.0,152.56,414.55,760.7,1000.0,1000.0,1000.0,760.7,414.55,152.56
7100.0,152.34,413.76,759.15,1000.0,1000.0,1000.0,759.15,413.76,152.34
7150.0,152.13,412.99,757.6,1000.0,1000.0,1000.0,757.6,412.99,152.13
7200.0,151.91,412.24,756.06,1000.0,1000.0,1000.0,756.06,412.24,151.91
7250.0,151.71,411.49,754.53,1000.0,1000.0,1000.0,754.53,411.49,151.71
7300.0,151.51,410.76,753.01,1000.0,1000.0,1000.0,753.01,410.76,151.51
7350.0,151.31,410.04,751.49,1000.0,1000.0,1000.0,751.49,410.04,151.31
7400.0,151.11,409.33,749.99,1000.0,1000.0,1000.0,749.99,409.33,151.11
7450.0,150.92,408.63,748.49,1000.0,1000.0,1000.0,748.49,408.63,150.92
7500.0,150.73,407.94,747.0,1000.0,1000.0,1000.0,747.0,407.94,150.73
7550.0,150.54,407.27,745.52,1000.0,1000.0,1000.0,745.52,407.27,150.54
7600.0,150.35,406.59,744.05,1000.0,1000.0,1000.0,744.05,406.59,150.35
7650.0,150.17,405.93,742.15,1000.0,1000.0,1000.0,742.15,405.93,150.17
7700.0,149.99,405.24,738.55,1000.0,1000.0,1000.0,738.55,405.24,149.99
7750.0,149.81,404.51,735.03,1000.0,1000.0,1000.0,735.03,404.51,149.81
7800.0,149.62,403.74,731.57,1000.0,1000.0,1000.0,731.57,403.74,149.62
7850.0,149.42,402.93,728.18,1000.0,1000.0,1000.0,728.18,402.93,149.42
7900.0,149.22,402.1,724.85,1000.0,1000.0,1000.0,724.85,402.1,149.22
7950.0,149.0,401.23,721.59,1000.0,1000.0,1000.0,721.59,401.23,149.0
8000.0,148.79,400.35,718.38,1000.0,1000.0,1000.0,718.38,400.35,148.79
8050.0,148.56,399.44,715.24,1000.0,1000.0,1000.0,715.24,399.44,148.56
8100.0,148.33,398.51,712.15,1000.0,1000.0,1000.0,712.15,398.51,148.33
8150.0,148.09,397.56,709.11,1000.0,1000.0,1000.0,709.11,397.56,148.09
8200.0,147.84,396.6,706.13,1000.0,1000.0,1000.0,706.13,396.6,147.84
8250.0,147.59,395.63,703.2,1000.0,1000.0,1000.0,703.2,395.63,147.59
8300.0,147.34,394.64,700.33,1000.0,1000.0,1000.0,700.33,394.64,147.34
8350.0,147.08,393.64,697.5,1000.0,1000.0,1000.0,697.5,393.64,147.08
8400.0,146.82,392.62,693.15,1000.0,1000.0,1000.0,693.15,392.62,146.82
8450.0,146.55,391.54,688.63,1000.0,1000.0,1000.0,688.63,391.54,146.55
8500.0,146.27,390.41,684.25,1000.0,1000.0,1000.0,684.25,390.41,146.27
8550.0,145.98,389.24,679.99,1000.0,1000.0,1000.0,679.99,389.24,145.98
8600.0,145.68,388.02,675.86,1000.0,1000.0,1000.0,675.86,388.02,145.68
8650.0,145.37,386.78,671.84,1000.0,1000.0,1000.0,671.84,386.78,145.37
8700.0,145.04,385.51,667.94,1000.0,1000.0,1000.0,667.94,385.51,145.04
8750.0,144.71,384.22,664.15,1000.0,1000.0,1000.0,664.15,384.22,144.71
8800.0,144.37,382.9,660.47,1000.0,1000.0,1000.0,660.47,382.9,144.37
8850.0,144.03,381.57,656.89,1000.0,1000.0,1000.0,656.89,381.57,144.03
8900.0,143.67,380.23,653.4,1000.0,1000.0,1000.0,653.4,380.23,143.67
8950.0,143.32,378.88,650.01,1000.0,1000.0,1000.0,650.01,378.88,143.32
9000.0,142.95,377.52,646.71,1000.0,1000.0,1000.0,646.71,377.52,142.95
9050.0,142.59,376.16,643.49,1000.0,1000.0,1000.0,643.49,376.16,142.59
9100.0,142.22,374.8,640.36,1000.0,1000.0,1000.0,640.36,374.8,142.22
9150.0,141.85,373.43,637.31,1000.0,1000.0,1000.0,637.31,373.43,141.85
9200.0,141.47,372.07,634.34,1000.0,1000.0,1000.0,634.34,372.07,141.47
9250.0,141.1,370.72,631.44,1000.0,1000.0,1000.0,631.44,370.72,141.1
9300.0,140.72,369.37,628.61,1000.0,1000.0,1000.0,628.61,369.37,140.72
9350.0,140.35,368.03,625.86,1000.0,1000.0,1000.0,625.86,368.03,140.35
9400.0,139.98,366.69,623.17,1000.0,1000.0,1000.0,623.17,366.69,139.98
9450.0,139.61,365.37,620.54,1000.0,1000.0,1000.0,620.54,365.37,139.61
9500.0,139.23,364.06,617.97,1000.0,1000.0,1000.0,617.97,364.06,139.23
9550.0,138.87,362.76,615.47,1000.0,1000.0,1000.0,615.47,362.76,138.87
9600.0,138.5,361.48,613.02,1000.0,1000.0,1000.0,613.02,361.48,138.5
9650.0,138.14,360.2,610.62,1000.0,1000.0,1000.0,610.62,360.2,138.14
9700.0,137.78,358.95,608.28,1000.0,1000.0,1000.0,608.28,358.95,137.78
9750.0,137.42,357.7,606.0,1000.0,1000.0,1000.0,606.0,357.7,137.42
9800.0,137.06,356.47,603.76,1000.0,1000.0,1000.0,603.76,356.47,137.06
9850.0,136.71,355.26,601.56,1000.0,1000.0,1000.0,601.56,355.26,136.71
9900.0,136.37,354.06,599.42,1000.0,1000.0,1000.0,599.42,354.06,136.37
9950.0,136.02,352.88,597.32,1000.0,1000.0,1000.0,597.32,352.88,136.02
10000.0,135.68,351.72,595.26,1000.0,1000.0,1000.0,595.26,351.72,135.68
